title;firstname;lastname;street_address;city;state;zipcode;country;email;telephone_number;company;channel;order_ref;payment_method;payment_details;shipping_method;shipping_amount
Ms.;Marilyn;Earnest;2511 Lighthouse Drive;Branson;MO;65616;US;MarilynREarnest@gustr.com;417-252-7522;Twin Electronics;2;NULL;Credit Card;American Express refnr. 371449635398431;UPS;0
Dr.;James;Boling;3026 B Street;New Brighton;MN;55112;US;JamesCBoling@einrot.com;651-638-2584;Happy Bear Investment;4;NULL;Paypal;NULL;DHL;0
Mr.;Randy;Gamino;4123 Walnut Hill Drive;Cincinnati;OH;45214;US;RandyMGamino@armyspy.com;513-305-7103;Independent Wealth Management;3;300000896;Paypal;NULL;DHL;10
Ms.;Priscilla;Gray;4170 Spruce Drive;Pittsburgh;PA;15203;US;PriscillaJGray@teleworm.us;724-918-6140;King Carol;2;200000072;Credit Card;American Express refnr. 371449635398431;UPS;0
Mrs.;May;Harman;2673 Isaacs Creek Road;Danville;IL;61832;US;MayMHarman@einrot.com;217-504-6112;Dreamscape Garden Care;3;NULL;Paypal;NULL;UPS;0
Ms.;Catherine;Ramos;661 Laurel Lane;Odessa;TX;79762;US;CatherineERamos@teleworm.us;432-366-5899;Lazysize;4;400000004;Credit Card;Visa refnr. 4012888888881881;UPS;5
Mr.;Richard;Brock;988 Sunburst Drive;Fort Myers;FL;33901;US;RichardGBrock@superrito.com;239-336-0832;Rainbow Bay Crafts;3;300000288;Paypal;NULL;DHL;0
Mr.;Edward;Hall;1293 Deer Ridge Drive;Newark;NJ;7102;US;EdwardLHall@superrito.com;973-549-8659;Megatronic Plus;3;NULL;Paypal;NULL;UPS;5
Mrs.;Kelly;Nguyen;3161 Palmer Road;Columbus;OH;43212;US;KellySNguyen@einrot.com;614-729-8389;PriceRite Warehouse Club;2;NULL;Credit Card;Visa refnr. 4012888888881881;DHL;5
Ms.;Roberta;Orth;1877 Ford Street;San Francisco;CA;94108;US;RobertaMOrth@teleworm.us;408-505-5179;Pleasures and Pasttimes;2;200000095;Credit Card;Visa refnr. 4012888888881881;UPS;5
Mrs.;Christina;Thomas;388 Sycamore Lake Road;Horicon;WI;53032;US;ChristinaJThomas@gustr.com;920-485-9825;DGS VolMAX;1;100000334;Credit Card;Master Card refnr. 5105105105105100;UPS;10
Mrs.;Myrtle;Reed;4304 Glen Street;Louisville;KY;40299;US;MyrtleMReed@gustr.com;270-300-0013;David Weis;3;300000122;Paypal;NULL;DHL;5
Mrs.;Nancy;Jones;2187 Kerry Way;Gardena;CA;90248;US;NancyDJones@teleworm.us;562-788-9642;Albers Super Markets;1;100000022;Credit Card;Master Card refnr. 5105105105105100;UPS;0
Mrs.;Alicia;Birkholz;2677 Stutler Lane;State College;PA;16803;US;AliciaCBirkholz@einrot.com;814-433-6100;Muscle Factory;1;100000256;Credit Card;Visa refnr. 4012888888881881;DHL;0
Ms.;Amy;Giles;3571 Bell Street;New York;NY;10007;US;AmyAGiles@teleworm.us;212-236-8563;Big Bear Stores;2;200000001;Paypal;NULL;UPS;0
Mr.;Donald;Schiller;4504 Washington Street;Berclair;TX;78107;US;DonaldESchiller@einrot.com;361-439-4633;Liberty Wealth Planner;4;NULL;Credit Card;Visa refnr. 4012888888881881;UPS;10
Dr.;Andre;Larson;643 Patterson Road;Queens;NY;11418;US;AndreJLarson@cuvox.de;718-846-4924;Rickel;3;300000217;Paypal;NULL;DHL;5
Ms.;Christine;Ward;374 Harvest Lane;Omaha;MO;63565;US;ChristineKWard@einrot.com;660-933-1473;Twin Electronics;3;300000133;Credit Card;American Express refnr. 371449635398431;UPS;0
Mrs.;Dolores;Massey;2559 Locust Street;Colquitt;GA;31717;US;DoloresAMassey@dayrep.com;229-758-6732;Klopfenstein's;1;NULL;Credit Card;Visa refnr. 4012888888881881;UPS;0
Mr.;Ross;Kay;2849 Junkins Avenue;Albany;GA;31707;US;RossRKay@teleworm.us;229-407-9032;Jewel Mart;1;NULL;Credit Card;Visa refnr. 4012888888881881;UPS;5
Mr.;Richard;Kelly;2889 Losh Lane;Pittsburgh;PA;15201;US;RichardLKelly@armyspy.com;412-725-0184;Albers Super Markets;4;NULL;Paypal;NULL;UPS;5
Ms.;Francine;Reasoner;3962 Patterson Fork Road;Chicago;IL;60606;US;FrancineHReasoner@armyspy.com;312-648-0202;Super Shops;2;200000089;Paypal;NULL;DHL;0
Mr.;Robert;Herrmann;1787 Cottonwood Lane;Grand Rapids;MI;49546;US;RobertGHerrmann@teleworm.us;616-350-9990;Lazysize;4;400000092;Credit Card;Visa refnr. 4012888888881881;UPS;0
Mr.;Albert;Clark;4556 Yorkie Lane;Tybee Island;GA;31328;US;AlbertEClark@einrot.com;912-786-0311;Acuserv;1;NULL;iDEAL;refnr. 189919629;UPS;0
Mr.;Richard;Ratcliff;4979 Canis Heights Drive;Los Angeles;CA;90071;US;RichardDRatcliff@armyspy.com;213-698-8551;Erb Lumber;3;300000401;Paypal;NULL;DHL;5
Ms.;Linda;Miller;2770 Barnes Avenue;Loveland;OH;45140;US;LindaSMiller@dayrep.com;513-677-2998;Foxmoor;4;NULL;After Pay;NULL;UPS;10
Ms.;Lorine;Liddell;788 Oakridge Lane;Macon;GA;31206;US;LorineELiddell@superrito.com;478-256-7049;Pleasures and Pasttimes;4;400000545;After Pay;NULL;DHL;0
Mrs.;Catherine;Hinojosa;2932 Cook Hill Road;New Haven;CT;6511;US;CatherineJHinojosa@armyspy.com;203-477-3061;Bumper to Bumper Auto Parts;1;100000120;Credit Card;Visa refnr. 4012888888881881;UPS;10
Ms.;Debra;Allen;3217 Queens Lane;Lynchburg;VA;24504;US;DebraAAllen@dayrep.com;434-688-2469;H. J. Wilson & Company;3;NULL;Paypal;NULL;DHL;5
Mr.;Calvin;Lieber;2090 Twin House Lane;Springfield;MO;65804;US;CalvinHLieber@cuvox.de;417-440-8945;Chandler's;1;NULL;iDEAL;refnr. 970366025;UPS;5
Ms.;Ladonna;Furr;369 New Creek Road;Huntsville;AL;35816;US;LadonnaRFurr@dayrep.com;256-841-2403;DGS HomeSource;4;400000099;Credit Card;Visa refnr. 4012888888881881;UPS;0
Mr.;Francis;Foster;4171 Martha Street;Prescott;AZ;86301;US;FrancisJFoster@teleworm.us;928-717-6567;Price Club;1;NULL;Credit Card;Visa refnr. 4012888888881881;UPS;0
Mr.;Robert;Rothstein;2995 Valley View Drive;Quincy;MA;2169;US;RobertMRothstein@einrot.com;617-689-5924;Cloth World;2;200000080;Credit Card;Master Card refnr. 5105105105105100;UPS;0
Mr.;Zachary;Scherer;4004 Riverwood Drive;Macdoel;CA;96058;US;ZacharyAScherer@cuvox.de;530-398-1803;Independent Wealth Management;2;NULL;Credit Card;Visa refnr. 4012888888881881;DHL;5
Mr.;Kenneth;Germany;1810 Station Street;Austin;TX;78741;US;KennethHGermany@cuvox.de;512-225-1224;Price Club;4;400000729;Paypal;NULL;UPS;5
Mr.;Allan;Dickens;3383 Mapleview Drive;Camden;TN;38320;US;AllanDDickens@einrot.com;731-279-9632;Gas Legion;1;NULL;Paypal;NULL;UPS;10
Ms.;Lois;Miller;3886 Columbia Boulevard;Baltimore;MD;21202;US;LoisRMiller@cuvox.de;410-393-5310;Lazysize;2;NULL;Paypal;NULL;DHL;0
Mr.;Jerry;Coleman;1215 Caldwell Road;Rochester;NY;14608;US;JerryAColeman@armyspy.com;585-255-1127;Life Plan Counselling;3;300000295;Credit Card;Master Card refnr. 5105105105105100;DHL;0
Ms.;Jennifer;Paxton;2922 Doctors Drive;Irvine;CA;92614;US;JenniferWPaxton@gustr.com;310-430-7875;A. L. Price;3;NULL;Paypal;NULL;DHL;0
Mr.;John;Eastin;2909 Losh Lane;Bellevue;PA;15202;US;JohnGEastin@cuvox.de;412-761-1509;Kinney Shoes;1;NULL;Credit Card;Visa refnr. 4012888888881881;UPS;5
Ms.;Wendy;Hill;180 Tenmile;Desert Center;CA;92239;US;WendyFHill@gustr.com;760-227-2128;Joshua Doore;1;NULL;iDEAL;refnr. 202572330;UPS;5
Ms.;April;Lynch;4106 Oak Way;Lincoln;NE;68501;US;AprilTLynch@armyspy.com;402-475-9091;Olympic Sports;2;NULL;Paypal;NULL;DHL;0
Mr.;John;Robinson;4327 Grasselli Street;Merrimack;NH;3054;US;JohnNRobinson@gustr.com;603-517-2879;The Great Train Stores;3;300000032;Paypal;NULL;UPS;0
Mr.;Paul;Corbin;4949 Mill Street;Greenville;SC;29601;US;PaulTCorbin@teleworm.us;864-201-6834;Honest Air Group;3;NULL;Credit Card;American Express refnr. 371449635398431;DHL;5
Mr.;Charlie;Leblanc;2051 Bingamon Branch Road;Warwick;NY;10990;US;CharlieSLeblanc@einrot.com;845-988-3563;Wellby;2;NULL;Paypal;NULL;UPS;5
Ms.;Liza;Pounders;4973 Middleville Road;Rosemead;CA;91770;US;LizaDPounders@cuvox.de;626-312-2467;Boston Sea Party;3;300000632;Paypal;NULL;DHL;10
Mr.;Joshua;Rodgers;952 Ben Street;East Lansing;MI;48823;US;JoshuaBRodgers@cuvox.de;517-979-4252;H. J. Wilson & Company;1;NULL;After Pay;NULL;DHL;5
Ms.;Rita;Leslie;776 Hickory Street;Ogden;UT;84414;US;RitaJLeslie@teleworm.us;801-786-2298;Rolling Thunder;1;NULL;Credit Card;Visa refnr. 4012888888881881;UPS;5
Mrs.;Bessie;Howlett;465 Goldleaf Lane;Newark;NJ;7105;US;BessieBHowlett@gustr.com;201-629-6685;Kinney Shoes;4;400000127;After Pay;NULL;DHL;0
Mr.;Henry;Vining;3818 Clover Drive;Colorado Springs;CO;80903;US;HenryCVining@dayrep.com;719-271-1914;Happy Bear Investment;1;100000209;Credit Card;Visa refnr. 4012888888881881;UPS;10
Mr.;Nick;Guzman;520 Ingram Street;Kettering;OH;45429;US;NickKGuzman@superrito.com;937-510-8654;Maxaprofit;4;NULL;After Pay;NULL;UPS;10
Mr.;William;Borden;312 Crosswind Drive;Louisville;KY;40202;US;WilliamWBorden@einrot.com;270-834-4683;Titania;2;NULL;Paypal;NULL;UPS;0
Dr.;Sally;Sisco;1802 Point Street;Buffalo Grove;IL;60089;US;SallyMSisco@cuvox.de;773-908-5915;Body Toning;2;200000157;Paypal;NULL;UPS;10
Mr.;Jonathan;Rodriguez;2312 Rowes Lane;Louisville;KY;40202;US;JonathanERodriguez@teleworm.us;270-592-9786;Rolling Thunder;3;NULL;Paypal;NULL;UPS;5
Mr.;John;Wade;1313 Garfield Road;Bloomington;IL;61704;US;JohnTWade@teleworm.us;309-665-6910;Record & Tape Outlet;4;400000936;Paypal;NULL;UPS;5
Mr.;Saul;Sanchez;3258 Nuzum Court;Buffalo;NY;14202;US;SaulTSanchez@dayrep.com;716-515-7513;Klopfenstein's;2;NULL;Paypal;NULL;UPS;0
